# step, loss_components...
1.000000000000000000e+04 4.369115456938743591e-02 4.089574515819549561e-02 8.267832919955253601e-03 7.704462856054306030e-03 1.664691721089184284e-03 5.338434129953384399e-04 1.721023436402902007e-04 2.140994329238310456e-04 1.370017562294378877e-04 6.379464321071282029e-05 8.210271480493247509e-04 4.284098278731107712e-03 4.890801850706338882e-03 6.409772904589772224e-04 1.322537893429398537e-03
1.100000000000000000e+04 2.736667403951287270e-03 4.991543246433138847e-04 6.337384111247956753e-04 9.033962851390242577e-04 1.250642118975520134e-03 4.903591470792889595e-04 1.476930337958037853e-04 1.614154025446623564e-04 1.085944095393642783e-04 4.817760418518446386e-05 5.201181629672646523e-04 9.117659647017717361e-04 1.483978121541440487e-04 6.056627607904374599e-04 1.041678013280034065e-03
1.200000000000000000e+04 5.729346536099910736e-03 1.485457061789929867e-03 1.776706660166382790e-03 1.333105377852916718e-03 1.088656601496040821e-03 4.266097384970635176e-04 1.342858013231307268e-04 1.291827356908470392e-04 8.562783477827906609e-05 3.808289329754188657e-05 4.107848508283495903e-04 1.321206567808985710e-03 2.339575439691543579e-04 4.893645527772605419e-04 8.742265054024755955e-04
1.300000000000000000e+04 2.244786359369754791e-03 4.220319679006934166e-04 7.405683281831443310e-04 7.085160468704998493e-04 9.696110500954091549e-04 3.901773307006806135e-04 1.349353551631793380e-04 1.149657473433762789e-04 7.643655408173799515e-05 3.342725176480598748e-05 3.304136916995048523e-04 5.855453200638294220e-04 1.293771347263827920e-04 3.602323122322559357e-04 7.113640313036739826e-04
1.400000000000000000e+04 4.518807679414749146e-02 6.180413067340850830e-03 9.781070053577423096e-03 4.438313189893960953e-03 1.001810771413147449e-03 5.334081361070275307e-04 1.833646674640476704e-04 1.376465661451220512e-04 8.562407310819253325e-05 4.311801967560313642e-05 4.368442459963262081e-04 4.399970639497041702e-03 3.824436862487345934e-04 3.784613218158483505e-04 4.960697842761874199e-04
1.500000000000000000e+04 1.658874214626848698e-03 3.120436740573495626e-04 4.386960063129663467e-04 5.296088638715445995e-04 7.877495954744517803e-04 3.091239777859300375e-04 1.201382765430025756e-04 9.350296750199049711e-05 6.553978892043232918e-05 2.787704579532146454e-05 2.400072116870433092e-04 4.081938532181084156e-04 1.178420134237967432e-04 2.366916305618360639e-04 4.767001955769956112e-04
1.600000000000000000e+04 7.880729623138904572e-03 1.702500740066170692e-03 2.349682152271270752e-03 1.203283085487782955e-03 7.537005585618317127e-04 2.575103135313838720e-04 1.010684136417694390e-04 7.848162931622937322e-05 5.559856799663975835e-05 2.622946703922934830e-05 2.031024923780933022e-04 1.311940839514136314e-03 1.869300176622346044e-04 2.099337580148130655e-04 4.173241031821817160e-04
1.700000000000000000e+04 4.276332445442676544e-03 6.244625546969473362e-04 1.563659985549747944e-03 1.516170566901564598e-03 6.774535868316888809e-04 2.822952810674905777e-04 1.042663643602281809e-04 7.018139149295166135e-05 5.660216993419453502e-05 2.339146885788068175e-05 2.241165202576667070e-04 4.847956006415188313e-04 1.479890197515487671e-04 2.383168466622009873e-04 3.223306557629257441e-04
1.800000000000000000e+04 4.250286146998405457e-03 9.888550266623497009e-04 1.023947028443217278e-03 8.370080613531172276e-04 6.569327088072896004e-04 2.586548216640949249e-04 1.019837509375065565e-04 6.307554576778784394e-05 5.026529834140092134e-05 2.563722227932885289e-05 1.639107795199379325e-04 6.938960868865251541e-04 1.451344287488609552e-04 1.516779157100245357e-04 2.850833116099238396e-04
1.900000000000000000e+04 2.064881147816777229e-03 3.552675771061331034e-04 3.598844050429761410e-04 4.599282110575586557e-04 5.895225913263857365e-04 2.155756374122574925e-04 8.865127165336161852e-05 5.513550058822147548e-05 4.240077032591216266e-05 2.070886512228753418e-05 1.484332606196403503e-04 2.938726102001965046e-04 9.090589446714147925e-05 1.340389280812814832e-04 2.503455907572060823e-04
2.000000000000000000e+04 4.002770408987998962e-03 8.066919399425387383e-04 8.378494530916213989e-04 6.785227451473474503e-04 5.730657721869647503e-04 2.175348199671134353e-04 8.752231224207207561e-05 5.274351133266463876e-05 3.952349288738332689e-05 2.244238748971838504e-05 1.359666493954136968e-04 5.633588298223912716e-04 1.228383043780922890e-04 1.116462881327606738e-04 2.130464272340759635e-04
2.100000000000000000e+04 2.178575098514556885e-02 1.289085298776626587e-02 5.611634347587823868e-03 3.515406744554638863e-03 5.952454521320760250e-04 2.449807943776249886e-04 1.372520346194505692e-04 5.347380283637903631e-05 4.650046321330592036e-05 2.313611548743210733e-05 1.175225130282342434e-03 2.511259634047746658e-03 1.650082645937800407e-03 1.438765611965209246e-04 1.546867279103025794e-04
2.200000000000000000e+04 4.373956937342882156e-03 7.347228238359093666e-04 6.057225400581955910e-04 5.121156573295593262e-04 5.103404982946813107e-04 1.682849979260936379e-04 7.244569133035838604e-05 3.882070814142934978e-05 3.608256884035654366e-05 1.648857323743868619e-05 1.262956502614542842e-04 2.595242112874984741e-04 9.890565706882625818e-05 9.558247256791219115e-05 1.532977912575006485e-04
